,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
70,10.0,0.5,1.0,0.5,0.0,9.0,30.0,-8.5,31.0
71,10.0,0.5,1.0,1.0,0.0,7.0,34.0,-2.5,26.0
72,10.0,1.0,0.0,0.0,100.0,0.0,36.0,6.5,24.0
73,10.0,1.0,0.0,0.5,0.0,3.0,32.0,-3.5,31.0
74,10.0,1.0,0.0,1.0,100.0,0.0,33.0,16.5,18.0
75,10.0,1.0,0.5,0.0,0.0,8.0,32.0,-4.0,31.0
76,10.0,1.0,0.5,0.5,100.0,3.0,30.0,1.0,11.0
77,10.0,1.0,0.5,1.0,0.0,6.0,31.0,-6.5,21.0
78,10.0,1.0,1.0,0.0,0.0,12.0,37.0,2.5,46.0
79,10.0,1.0,1.0,0.5,0.0,8.0,34.0,-1.5,21.0
80,10.0,1.0,1.0,1.0,0.0,7.0,40.0,-2.5,26.0
