,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
71,0.0,0.25,0.2,0.85,0.0,8.4,29.4,-5.45,34.0
72,0.0,0.25,0.2,0.9,40.0,4.6,29.0,4.1,26.3
73,0.0,0.25,0.2,0.95,0.0,8.9,25.7,0.1,31.0
74,0.0,0.25,0.2,1.0,10.0,5.9,29.9,-5.55,31.0
75,0.0,0.3,0.0,0.8,40.0,1.2,33.6,10.75,21.4
76,0.0,0.3,0.0,0.85,40.0,4.6,28.6,3.9,26.2
77,0.0,0.3,0.0,0.9,10.0,0.9,17.0,-0.25,25.8
78,0.0,0.3,0.0,0.95,10.0,9.7,26.3,0.45,30.8
79,0.0,0.3,0.0,1.0,10.0,7.5,31.9,3.05,29.4
80,0.0,0.3,0.05,0.8,30.0,4.4,39.0,6.05,26.4
81,0.0,0.3,0.05,0.85,60.0,2.4,26.8,3.4,20.2
82,0.0,0.3,0.05,0.9,40.0,0.6,20.6,12.1,27.7
83,0.0,0.3,0.05,0.95,20.0,1.3,25.1,4.15,29.9
84,0.0,0.3,0.05,1.0,70.0,6.9,24.4,1.7,20.6
85,0.0,0.3,0.1,0.8,90.0,2.9,23.9,4.3,15.0
86,0.0,0.3,0.1,0.85,0.0,3.3,28.0,1.75,30.0
87,0.0,0.3,0.1,0.9,20.0,6.2,27.6,-0.4,29.4
88,0.0,0.3,0.1,0.95,40.0,2.9,26.5,3.45,28.4
89,0.0,0.3,0.1,1.0,20.0,3.2,24.5,6.0,29.5
90,0.0,0.3,0.15,0.8,50.0,5.0,26.3,4.5,21.6
91,0.0,0.3,0.15,0.85,50.0,3.0,25.7,0.4,21.0
92,0.0,0.3,0.15,0.9,10.0,1.7,24.6,5.7,27.1
93,0.0,0.3,0.15,0.95,0.0,6.8,31.4,0.15,30.5
94,0.0,0.3,0.15,1.0,100.0,5.4,28.8,4.8,16.2
95,0.0,0.3,0.2,0.8,10.0,3.3,23.4,0.15,24.7
96,0.0,0.3,0.2,0.85,40.0,5.8,25.3,1.45,26.4
97,0.0,0.3,0.2,0.9,30.0,5.1,28.2,-1.6,27.3
98,0.0,0.3,0.2,0.95,30.0,2.9,21.3,2.5,26.8
99,0.0,0.3,0.2,1.0,0.0,5.1,25.2,-0.1,33.5
100,0.0,0.35,0.0,0.8,20.0,9.4,31.9,-0.85,28.5
101,0.0,0.35,0.0,0.85,20.0,2.1,34.9,12.05,30.5
102,0.0,0.35,0.0,0.9,50.0,1.9,25.3,6.75,20.7
103,0.0,0.35,0.0,0.95,20.0,5.2,28.1,0.45,30.4
104,0.0,0.35,0.0,1.0,0.0,1.8,27.9,-1.65,31.5
105,0.0,0.35,0.05,0.8,0.0,3.4,31.1,-1.45,27.0
106,0.0,0.35,0.05,0.85,40.0,4.2,26.2,3.15,27.3
107,0.0,0.35,0.05,0.9,50.0,7.2,24.9,1.1,23.4
108,0.0,0.35,0.05,0.95,30.0,4.3,27.6,1.15,26.8
109,0.0,0.35,0.05,1.0,90.0,0.8,17.0,12.3,16.8
110,0.0,0.35,0.1,0.8,40.0,3.2,27.1,-0.3,29.6
111,0.0,0.35,0.1,0.85,90.0,3.7,13.7,5.4,12.9
112,0.0,0.35,0.1,0.9,20.0,4.9,32.5,5.75,28.8
113,0.0,0.35,0.1,0.95,50.0,7.8,27.8,1.4,26.0
114,0.0,0.35,0.1,1.0,40.0,2.3,22.5,6.4,22.5
115,0.0,0.35,0.15,0.8,40.0,4.3,25.9,-0.15,24.5
116,0.0,0.35,0.15,0.85,10.0,6.0,26.5,-2.8,27.4
117,0.0,0.35,0.15,0.9,0.0,3.7,25.4,11.35,29.0
118,0.0,0.35,0.15,0.95,0.0,4.9,25.4,-2.55,32.5
119,0.0,0.35,0.15,1.0,30.0,6.8,25.9,3.5,23.5
