,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
352,2.0,0.35,0.0,0.9,70.0,2.2,25.5,10.85,19.9
353,2.0,0.35,0.0,0.95,30.0,3.9,26.7,-1.3,28.1
354,2.0,0.35,0.0,1.0,10.0,2.3,26.9,-1.55,29.6
355,2.0,0.35,0.05,0.8,20.0,3.9,34.3,5.45,29.1
356,2.0,0.35,0.05,0.85,20.0,3.6,24.7,0.3,24.8
357,2.0,0.35,0.05,0.9,30.0,3.0,28.5,14.3,23.4
358,2.0,0.35,0.05,0.95,40.0,1.3,25.8,25.15,31.7
359,2.0,0.35,0.05,1.0,0.0,2.7,23.5,-1.65,30.5
360,2.0,0.35,0.1,0.8,0.0,9.3,27.9,-3.15,31.0
361,2.0,0.35,0.1,0.85,50.0,4.9,27.9,5.35,23.0
362,2.0,0.35,0.1,0.9,20.0,11.3,33.2,-0.4,29.1
363,2.0,0.35,0.1,0.95,20.0,5.0,23.9,-0.1,26.1
364,2.0,0.35,0.1,1.0,70.0,7.4,26.6,1.8,21.2
365,2.0,0.35,0.15,0.8,10.0,7.3,33.3,-2.55,27.3
366,2.0,0.35,0.15,0.85,10.0,4.8,27.5,2.7,27.0
367,2.0,0.35,0.15,0.9,20.0,6.5,30.6,-1.1,32.0
368,2.0,0.35,0.15,0.95,20.0,7.2,28.0,6.15,30.2
369,2.0,0.35,0.15,1.0,40.0,3.3,27.3,-0.15,27.2
370,2.0,0.35,0.2,0.8,40.0,3.6,23.7,6.9,23.4
371,2.0,0.35,0.2,0.85,10.0,7.7,32.1,-2.25,34.6
372,2.0,0.35,0.2,0.9,20.0,2.8,23.1,1.45,27.8
373,2.0,0.35,0.2,0.95,40.0,7.4,23.7,0.25,28.1
374,2.0,0.35,0.2,1.0,10.0,5.2,25.9,-3.65,26.6
